Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,purchase_cadence_days,est_annual_orders,est_annual_value,tenure_orders,is_high_tenure,lifetime_value_proxy,promo_dependency_score,is_promo_dependent,is_organic_high_value,satisfaction_score,is_at_risk_dissatisfied,customer_value_score,value_tier,category_role
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,True,Express,True,True,14,Venmo,Fortnightly,14,26.071428571428573,1381.79,14,False,795,3,True,False,3.1,False,48.3,Silver,Entry-Point Category
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,True,Express,True,True,2,Cash,Fortnightly,14,26.071428571428573,1668.57,2,False,192,3,True,False,3.1,False,43.3,Silver,Entry-Point Category
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,True,Free Shipping,True,True,23,Credit Card,Weekly,7,52.142857142857146,3806.43,23,False,1752,3,True,False,3.1,False,66.0,Gold,Entry-Point Category
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,True,Next Day Air,True,True,49,PayPal,Weekly,7,52.142857142857146,4692.86,49,True,4500,3,True,False,3.5,False,86.3,Platinum,Entry-Point Category
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,True,Free Shipping,True,True,31,PayPal,Annually,365,1.0,49.0,31,False,1568,3,True,False,2.7,False,22.8,Bronze,Entry-Point Category
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,True,Standard,True,True,14,Venmo,Weekly,7,52.142857142857146,1042.86,14,False,300,3,True,False,2.9,False,42.9,Silver,Entry-Point Category
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,True,Free Shipping,True,True,49,Cash,Quarterly,90,4.055555555555555,344.72,49,True,4250,3,True,False,3.2,False,54.6,Silver,Entry-Point Category
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,True,Free Shipping,True,True,19,Credit Card,Weekly,7,52.142857142857146,1772.86,19,False,680,3,True,False,3.2,False,55.4,Gold,Entry-Point Category
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,True,Express,True,True,8,Venmo,Annually,365,1.0,97.0,8,False,873,3,True,False,2.6,False,13.2,Bronze,Entry-Point Category
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,True,2-Day Shipping,True,True,4,Cash,Quarterly,90,4.055555555555555,125.72,4,False,155,3,True,False,4.8,False,30.2,Silver,Retention Category
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,True,Store Pickup,True,True,26,Bank Transfer,Bi-Weekly,14,26.071428571428573,886.43,26,False,918,3,True,False,4.1,False,57.8,Gold,Entry-Point Category
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,True,Store Pickup,True,True,10,Bank Transfer,Fortnightly,14,26.071428571428573,1772.86,10,False,748,3,True,False,4.9,False,63.7,Gold,Entry-Point Category
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,True,Express,True,True,37,Venmo,Fortnightly,14,26.071428571428573,1877.14,37,False,2736,3,True,False,4.5,False,77.9,Gold,Entry-Point Category
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,True,Express,True,True,31,PayPal,Weekly,7,52.142857142857146,2659.29,31,False,1632,3,True,False,4.7,False,82.2,Platinum,Entry-Point Category
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,True,Free Shipping,True,True,34,Debit Card,Weekly,7,52.142857142857146,2763.57,34,False,1855,3,True,False,4.7,False,84.3,Platinum,Entry-Point Category
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,True,Store Pickup,True,True,8,PayPal,Monthly,30,12.166666666666666,985.5,8,False,729,3,True,False,2.8,False,38.0,Silver,Entry-Point Category
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,True,Next Day Air,True,True,44,Debit Card,Bi-Weekly,14,26.071428571428573,938.57,44,True,1620,3,True,False,4.1,False,69.3,Gold,Retention Category
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,True,2-Day Shipping,True,True,36,Venmo,Quarterly,90,4.055555555555555,154.11,36,False,1406,3,True,False,4.7,False,50.1,Silver,Entry-Point Category
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,True,Free Shipping,True,True,17,Cash,Weekly,7,52.142857142857146,2502.86,17,False,864,3,True,False,4.6,False,71.7,Gold,Entry-Point Category
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,True,Standard,True,True,46,Debit Card,Bi-Weekly,14,26.071428571428573,2346.43,46,True,4230,3,True,False,3.3,False,77.1,Gold,Entry-Point Category
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,True,Express,True,True,50,Cash,Every 3 Months,90,4.055555555555555,206.83,50,True,2601,3,True,False,2.8,False,45.1,Silver,Entry-Point Category
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,True,Store Pickup,True,True,22,Debit Card,Quarterly,90,4.055555555555555,251.44,22,False,1426,3,True,False,4.1,False,40.9,Silver,Entry-Point Category
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,True,Store Pickup,True,True,32,Debit Card,Annually,365,1.0,37.0,32,False,1221,3,True,False,3.2,False,26.3,Bronze,Entry-Point Category
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,True,Express,True,True,40,Credit Card,Weekly,7,52.142857142857146,4588.57,40,True,3608,3,True,False,4.4,False,88.1,Platinum,Entry-Point Category
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,True,Store Pickup,True,True,16,Debit Card,Weekly,7,52.142857142857146,1147.14,16,False,374,3,True,False,2.9,False,45.6,Silver,Entry-Point Category
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,True,Express,True,True,14,PayPal,Annually,365,1.0,25.0,14,False,375,3,True,False,3.6,False,17.4,Bronze,Entry-Point Category
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,True,Next Day Air,True,True,13,Credit Card,Annually,365,1.0,20.0,13,False,280,3,True,False,3.6,False,16.3,Bronze,Retention Category
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,True,Next Day Air,True,True,7,Bank Transfer,Every 3 Months,90,4.055555555555555,227.11,7,False,448,3,True,False,5.0,False,37.8,Silver,Entry-Point Category
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,True,Free Shipping,True,True,41,PayPal,Every 3 Months,90,4.055555555555555,381.22,41,True,3948,3,True,False,4.4,False,61.4,Gold,Retention Category
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,True,Store Pickup,True,True,14,Credit Card,Weekly,7,52.142857142857146,2502.86,14,False,720,3,True,False,4.1,False,66.0,Gold,Entry-Point Category
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,True,Standard,True,True,16,Credit Card,Monthly,30,12.166666666666666,377.17,16,False,527,3,True,False,4.7,False,48.5,Silver,Retention Category
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,True,Store Pickup,True,True,45,Venmo,Monthly,30,12.166666666666666,961.17,45,True,3634,3,True,False,4.7,False,74.9,Gold,Entry-Point Category
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,True,Free Shipping,True,True,37,Venmo,Annually,365,1.0,67.0,37,False,2546,3,True,False,4.9,False,45.6,Silver,Entry-Point Category
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,True,Store Pickup,True,True,45,Cash,Quarterly,90,4.055555555555555,154.11,45,True,1748,3,True,False,3.3,False,43.9,Silver,Entry-Point Category
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,True,2-Day Shipping,True,True,38,PayPal,Quarterly,90,4.055555555555555,369.06,38,True,3549,3,True,False,4.6,False,60.6,Gold,Entry-Point Category
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,True,2-Day Shipping,True,True,48,Credit Card,Bi-Weekly,14,26.071428571428573,860.36,48,True,1617,3,True,False,4.0,False,69.9,Gold,Entry-Point Category
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,True,Free Shipping,True,True,44,PayPal,Fortnightly,14,26.071428571428573,1798.93,44,True,3105,3,True,False,4.6,False,82.0,Platinum,Entry-Point Category
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,True,Store Pickup,True,True,10,PayPal,Weekly,7,52.142857142857146,2346.43,10,False,495,3,True,False,2.8,False,51.6,Silver,Entry-Point Category
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,True,2-Day Shipping,True,True,44,Venmo,Every 3 Months,90,4.055555555555555,150.06,44,True,1665,3,True,False,3.8,False,47.1,Silver,Entry-Point Category
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,True,Express,True,True,18,Credit Card,Monthly,30,12.166666666666666,730.0,18,False,1140,3,True,False,4.2,False,51.5,Silver,Entry-Point Category
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,True,Next Day Air,True,True,31,Debit Card,Quarterly,90,4.055555555555555,308.22,31,False,2432,3,True,False,4.6,False,53.3,Silver,Retention Category
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,True,Standard,True,True,40,Venmo,Annually,365,1.0,39.0,40,True,1599,3,True,False,4.5,False,41.8,Silver,Retention Category
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,True,Free Shipping,True,True,15,PayPal,Annually,365,1.0,100.0,15,False,1600,3,True,False,4.1,False,29.9,Bronze,Entry-Point Category
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,True,Store Pickup,True,True,19,PayPal,Fortnightly,14,26.071428571428573,1798.93,19,False,1380,3,True,False,3.7,False,59.7,Gold,Retention Category
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,True,Free Shipping,True,True,45,PayPal,Weekly,7,52.142857142857146,2763.57,45,True,2438,3,True,False,4.6,False,89.7,Platinum,Retention Category
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,True,2-Day Shipping,True,True,25,PayPal,Annually,365,1.0,21.0,25,False,546,3,True,False,2.9,False,18.0,Bronze,Entry-Point Category
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,True,Store Pickup,True,True,45,Cash,Quarterly,90,4.055555555555555,174.39,45,True,1978,3,True,False,2.9,False,41.7,Silver,Entry-Point Category
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,True,Free Shipping,True,True,36,Cash,Weekly,7,52.142857142857146,2815.71,36,False,1998,3,True,False,4.5,False,83.8,Platinum,Retention Category
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,True,Store Pickup,True,True,38,Cash,Monthly,30,12.166666666666666,669.17,38,True,2145,3,True,False,2.7,False,50.7,Silver,Entry-Point Category
